hospital_id,description,code1,code1_type,code2,code2_type,code3,code3_type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,modifiers,standard_charge_gross,standard_charge_discounted_cash,payer_name,plan_name,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_negotiated_algorithm,estimated_amount,standard_charge_methodology,standard_charge_min,standard_charge_max,additional_generic_notes
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Amerigroup Dc,Amerigroup Dc Healthcare Alliance Mco (New 4/2023),,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",163.41,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Amerigroup Dc,Amerigroup Dc Healthy Families Mco (New 4/2023),,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",163.41,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Amerihealth,Amerihealth Caritas Dc Alliance Mco,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",152.8,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Amerihealth,Amerihealth Dc Healthy Families Mco,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",167.32,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Blue Cr/Sh Fep,Blue Cr/Sh Fep Basic Ppo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",159.05,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Blue Cr/Sh Fep,Blue Cr/Sh Fep Standard Ppo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",174.28,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Blue Cr/Sh Nasco,Blue Cr/Sh National Acct,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",173.88,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Blue Cr/Sh Out-Of-State,Bcbs Out-Of-State Ppo Other,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Admin,Carefirst Administrators,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",56.26,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Blue Choice,Blue Cr/Sh Natl Accts Bluechoice,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",170.45,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Blue Choice,Carefirst Blue Choice Advantage,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Blue Choice,Carefirst Blue Choice Hmo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",159.69,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Blue Choice,Carefirst Blue Choice Open Access,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",174.77,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Community Health Plan Maryland Mco,Carefirst Community Health Plan Md,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",166.96,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Med Adv Dsnp Umms,Carefirst Medicare Adv Dual Hmo-Snp,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",115.91,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Carefirst Preferred,Carefirst Blue Cr/Sh,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Cigna,Cigna Regional Network/Oap/Pos/Localplus,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",158.21,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Ehp,Ehp Employee Health Plan New 12/2022,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",244.88,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Humana Medicare Advantage,Humana Choice Ppo Med Adv,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",36.65,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Hmo Med Adv,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",160.25,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Johns Hopkins Advantage Md,Johns Hopkins Advantage Md Primary Ppo Med Adv,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",116.95,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Kaiser,Kaiser Flex Choice Opt 2/Opt 3,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",1389.61,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Kaiser,Kaiser Medicare Advantage Plan,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",144.23,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Kaiser,Kaiser Signature,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",97.04,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Kaiser,Kaiser Select,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",6175.52,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Kaiser Permanente Maryland Mco,Kaiser Permanente Mco Md,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",133.12,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Maryland Physicians Care,Maryland Physicians Care Mco,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",150.86,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,Priority Partners,Priority Partners Mco New 9/2022,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",147.94,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Healthcare Choice/Choice Plus/At,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Healthcare Choice/Choice Plus/Sl,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",265.56,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Healthcare Global,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,Geha-United Shared Services,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",538.57,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Healthcare Hmo Select/Sel Plus/At,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",814.65,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Hlth Student Resources,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",34.64,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Medical Resource (Umr),,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",184.36,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,Oxford Health Plan,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",158.92,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Healthcare Hmo Select/Sel Plus/Sl,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",175.66,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare,United Mdipa/Optimum Choice Hmo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",94.71,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare Mco,Uhc Community Plan Mco Md,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",163.41,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare Med Adv,United Community Medicare Dual Snp,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",112.02,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare Med Adv,Aarp Medicare Complete Ppo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",160.11,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare Med Adv,United Healthcare Grp Ind Med Adv Ppo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",197.44,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare Med Adv,United Healthcare Medicare Complete,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",252.3,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 1 Type A ED Visits,5021,APC,,,,,facility,outpatient,,,,,,United Healthcare Med Adv,Aarp Medicare Complete Hmo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",7370.13,other,34.64,7370.13,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Elect Choice Open Access,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",349.90,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Innovation Health,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",362.87,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Meritain Health,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",343.03,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Open Choice Ppo/Other,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",353.08,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Health Network Only,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",465.46,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Hmo Open Access,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",400.75,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Select,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",156.5,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Managed Choice Pos,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",515.62,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Student Health Plan,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",462.11,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna World Bank Employees,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",386.23,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Hmo,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",451.36,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Managed Choice Open Access,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",398.01,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Qpos,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",752.77,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
H004,Level 2 Type A ED Visits,5022,APC,,,,,facility,outpatient,,,,,,Aetna,Aetna Select Open Access,,,"Conditional payment logic at the claim level including numerous contracting methods, hierarchical applications, and service utilization requirements.",350.52,other,101.31,2587.71,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The estimated allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
